日期,調整收盤價
2019-11-21,11558.269531
2019-11-22,11566.799805
2019-11-25,11561.580078
2019-11-26,11576.820312
2019-11-27,11647.459961
2019-11-28,11617.080078
2019-11-29,11489.570312
2019-12-02,11502.830078
2019-12-03,11531.580078
2019-12-04,11510.469727
2019-12-05,11594.650391
2019-12-06,11609.639648
2019-12-09,11660.769531
2019-12-10,11627.839844
2019-12-11,11700.769531
2019-12-12,11836.419922
2019-12-13,11927.730469
2019-12-16,11939.769531
2019-12-17,12097.009766
2019-12-18,12122.450195
2019-12-19,12018.900391
2019-12-20,11959.080078
2019-12-23,12022.230469
2019-12-24,11976.379883
2019-12-25,12008.129883
2019-12-26,12001.009766
2019-12-27,12091.589844
2019-12-30,12053.370117
2019-12-31,11997.139648
2020-01-02,12100.480469
2020-01-03,12110.429688
2020-01-06,11953.360352
2020-01-07,11880.320312
2020-01-08,11817.099609
2020-01-09,11970.629883
2020-01-10,12024.650391
2020-01-13,12113.419922
2020-01-14,12179.809570
2020-01-15,12091.879883
2020-01-16,12066.929688
2020-01-17,12090.290039
2020-01-20,12118.709961
2020-01-30,11421.740234
2020-01-31,11495.099609
2020-02-03,11354.919922
2020-02-04,11555.919922
2020-02-05,11573.620117
2020-02-06,11749.679688
2020-02-07,11612.809570
2020-02-10,11574.070312
2020-02-11,11664.040039
2020-02-12,11774.190430
2020-02-13,11791.780273
2020-02-14,11815.700195
2020-02-17,11763.509766
2020-02-18,11648.980469
2020-02-19,11758.839844
2020-02-20,11725.089844
2020-02-21,11686.349609
2020-02-24,11534.870117
2020-02-25,11540.230469
2020-02-26,11433.620117
2020-02-27,11292.169922
2020-03-02,11170.459961
2020-03-03,11327.719727
2020-03-04,11392.349609
2020-03-05,11514.820312
2020-03-06,11321.809570
2020-03-09,10977.639648
2020-03-10,11003.540039
2020-03-11,10893.750000
2020-03-12,10422.320312
2020-03-13,10128.870117
2020-03-16,9717.769531
2020-03-17,9439.629883
2020-03-18,9218.669922
2020-03-19,8681.339844
2020-03-20,9234.089844
2020-03-23,8890.030273
2020-03-24,9285.620117
2020-03-25,9644.750000
2020-03-26,9736.360352
2020-03-27,9698.919922
2020-03-30,9629.429688
2020-03-31,9708.059570
2020-04-01,9663.629883
2020-04-06,9818.740234
2020-04-07,9996.389648
2020-04-08,10137.469727
2020-04-09,10119.429688
2020-04-10,10157.610352
2020-04-13,10099.219727
2020-04-14,10332.940430
2020-04-15,10447.209961
2020-04-16,10375.480469
2020-04-17,10597.040039
2020-04-20,10586.709961
2020-04-21,10288.419922
2020-04-22,10307.740234
2020-04-23,10366.509766
2020-04-24,10347.360352
2020-04-27,10567.269531
2020-04-28,10616.059570
2020-04-29,10772.219727
2020-04-30,10992.139648
2020-05-04,10720.480469
2020-05-05,10774.610352
2020-05-06,10774.980469
